run_accession	fastq_ftp
SRR2139007	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139007/SRR2139007.fastq.gz
SRR2139008	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139008/SRR2139008.fastq.gz
SRR2139009	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139009/SRR2139009.fastq.gz
SRR2139010	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139010/SRR2139010.fastq.gz
SRR2139012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139012/SRR2139012.fastq.gz
SRR2139013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139013/SRR2139013.fastq.gz
SRR2139016	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139016/SRR2139016.fastq.gz
SRR2139018	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139018/SRR2139018.fastq.gz
SRR2139019	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139019/SRR2139019.fastq.gz
SRR2139020	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139020/SRR2139020.fastq.gz
SRR2139023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139023/SRR2139023.fastq.gz
SRR2139025	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139025/SRR2139025.fastq.gz
SRR2139026	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139026/SRR2139026.fastq.gz
SRR2139029	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139029/SRR2139029.fastq.gz
SRR2139032	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139032/SRR2139032.fastq.gz
SRR2139036	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139036/SRR2139036.fastq.gz
SRR2139037	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139037/SRR2139037.fastq.gz
SRR2139038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139038/SRR2139038.fastq.gz
SRR2139044	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139044/SRR2139044.fastq.gz
SRR2139045	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139045/SRR2139045.fastq.gz
SRR2139050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139050/SRR2139050.fastq.gz
SRR2139051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2139051/SRR2139051.fastq.gz
SRR2139054	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139054/SRR2139054.fastq.gz
SRR2139058	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139058/SRR2139058.fastq.gz
SRR2139066	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139066/SRR2139066.fastq.gz
SRR2139073	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139073/SRR2139073.fastq.gz
SRR2139076	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139076/SRR2139076.fastq.gz
SRR2139078	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139078/SRR2139078.fastq.gz
SRR2139082	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139082/SRR2139082.fastq.gz
SRR2139091	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2139091/SRR2139091.fastq.gz
SRR2139093	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139093/SRR2139093.fastq.gz
SRR2139098	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139098/SRR2139098.fastq.gz
SRR2139100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139100/SRR2139100.fastq.gz
SRR2139105	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139105/SRR2139105.fastq.gz
SRR2139106	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139106/SRR2139106.fastq.gz
SRR2139107	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139107/SRR2139107.fastq.gz
SRR2139109	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139109/SRR2139109.fastq.gz
SRR2139110	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139110/SRR2139110.fastq.gz
SRR2139113	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139113/SRR2139113.fastq.gz
SRR2139114	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139114/SRR2139114.fastq.gz
SRR2139116	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139116/SRR2139116.fastq.gz
SRR2139120	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139120/SRR2139120.fastq.gz
SRR2139122	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139122/SRR2139122.fastq.gz
SRR2139123	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139123/SRR2139123.fastq.gz
SRR2139124	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139124/SRR2139124.fastq.gz
SRR2139134	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139134/SRR2139134.fastq.gz
SRR2139135	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139135/SRR2139135.fastq.gz
SRR2139137	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139137/SRR2139137.fastq.gz
SRR2139138	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139138/SRR2139138.fastq.gz
SRR2139141	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2139141/SRR2139141.fastq.gz
SRR2139144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139144/SRR2139144.fastq.gz
SRR2139146	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139146/SRR2139146.fastq.gz
SRR2139148	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139148/SRR2139148.fastq.gz
SRR2139151	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2139151/SRR2139151.fastq.gz
SRR2139153	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139153/SRR2139153.fastq.gz
SRR2139156	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139156/SRR2139156.fastq.gz
SRR2139157	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139157/SRR2139157.fastq.gz
SRR2139163	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139163/SRR2139163.fastq.gz
SRR2139165	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139165/SRR2139165.fastq.gz
SRR2139166	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139166/SRR2139166.fastq.gz
SRR2139167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139167/SRR2139167.fastq.gz
SRR2139169	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139169/SRR2139169.fastq.gz
SRR2139181	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2139181/SRR2139181.fastq.gz
SRR2139183	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139183/SRR2139183.fastq.gz
SRR2139190	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139190/SRR2139190.fastq.gz
SRR2139200	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139200/SRR2139200.fastq.gz
SRR2139203	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139203/SRR2139203.fastq.gz
SRR2139205	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139205/SRR2139205.fastq.gz
SRR2139212	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139212/SRR2139212.fastq.gz
SRR2139213	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139213/SRR2139213.fastq.gz
SRR2139214	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139214/SRR2139214.fastq.gz
SRR2139218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139218/SRR2139218.fastq.gz
